"StudyUniqueID"	"VariableID"	"VariableName"	"VariableAccessionNumber"	"Trait"	"TraitAccessionNumber"	"TraitEntity"	"TraitEntityAccessionNumber"	"TraitAttribute"	"TraitAttributeAccessionNumber"	"Method"	"MethodAccessionNumber"	"MethodDescription"	"ReferenceAssociatedToTheMethod"	"Scale"	"ScaleAccessionNumber"	"TimeScale"
	"Tnight"	"Night temperature"	"EIPO:0000001"	"Night air temperature"	"EIPO:0000006"	"Air"		"Temperature"		"Night temperature measurement"	"EIPO:0000011"	"Average night temperature. Temperature should be recorded in a wheather station close to the field."		"Celsius degrees"	"EIPO:0000016"	
	"Ri"	"Solar radiation"	"EIPO:0000002"	"Solar radiation"	"EIPO:0000007"	"Sun"		"Radiation"		"Solar radiation measurement"	"EIPO:0000012"	"Intercepted radiation."		"W.m-2"	"EIPO:0000017"	
	"Psi"	"Soil water potential"	"EIPO:0000003"	"Soil water potential"	"EIPO:0000008"	"Soil"		"Water potential"		"Soil water potential measurement"	"EIPO:0000013"	"Average soil water potential, at three depths"		"m3.m-3"	"EIPO:0000018"	
	"Check"	"microplot altered by environmental measure (soil compaction)"	"EIPO:0000004"	"Experimental practice"	"EIPO:0000009"	"Soil"		"Compaction"		"Compaction estimation"	"EIPO:0000014"			"Celsius degrees"	"EIPO:0000016"	
	"Tmax"	"Maximum air temperature"	"EIPO:0000005"	"Maximal air temperature"	"EIPO:0000010"	"Air"		"Temperature"		"Maximum air temperature measurement"	"EIPO:0000015"	"Measured temperature"		"Celsius degrees"	"EIPO:0000016"	
	"ASI_GDD8"	"Anthesis to silking interval GDD base 8, ASI"	"MIPO:0000001"	"Anthesis silking interval"	"CO_322:0000001"	"Flower"		"Anthesis silking interval"		"Anthesis silking interval - Computation"	"MIPO:2000001"	"Calculated as growing-degree units or growing degree days between sowing and 50% anthesis."	"Ritchie J, NeSmith D (1991) Temperature and crop development. Modeling plant and soil systems American Society of Agronomy Madison Wisconsin USA. doi:10.2134/agronmonogr31.c4 "	"GDD: growing degree-days"	"MIPO:3000001"	
	"FFLW_GDD8"	"Female flowering days to silking GDD base 8, FFLW"	"MIPO:0000002"	"Silking time"	"CO_322:0000031"	"Flower"		"Silking time"						"GDD: growing degree-days"	"MIPO:3000001"	
	"MFLW8"	"Male flowering days to anthesis GDD base 8, MFLW"	"MIPO:0000003"	"Anthesis time"	"CO_322:0000030"	"Flower"		"Anthesis time"		"Growing degree days to anthesis - Computation"	"MIPO:2000002"	"Calculated as growing-degree units or growing degree days between sowing and 50% anthesis."	"Ritchie J, NeSmith D (1991) Temperature and crop development. Modeling plant and soil systems American Society of Agronomy Madison Wisconsin USA. doi:10.2134/agronmonogr31.c4 "	"GDD: growing degree-days"	"MIPO:3000001"	
	"EmVIG"	"Emergence vigor (qualitative)"	"MIPO:0000004"	"Seedling Vigor"	"CO_324:0000190"	"Seedling"		"Vigor"		"Seedling vigor - Estimation"	"CO_324:0000191"	"Comparative visual observation of plant biomass (length, width, number of leaves) 15 days after sowing.  "	"House, L.R. 1987. Manual for the selection of sorghum. Second edition. Patancheru, AP 502 324, India: International Crops Research Institute for the Semi-Arid Tropics."	"Vigor Score (1-5)"	"CO_324:0000192"	
	"Em8"	"Emergence (GDD f )"	"MIPO:0000005"	"Standard germination"	"CO_322:0000540"	"Grain"		"Standard Germination"		"StdGerm - Estimation"	"CO_322:0000633"	"The plant germination dynamics were measured by counting the number of
visible plants after seeding every 2 days until 50% of plants were visible (days to
emergence: Em) "	"IMIS (International Maize Information System; http://imis.cimmyt.org/) Database, CIMMYT."			
