"StudyTitle"	"StudyUniqueID"	"ExperimentalSiteName"	"StartDateOfStudy"	"EndDateOfStudy"	"StudyDescription"	"TypeOfExperimentalDesign"	"GeographicLocationLatitude"	"GeographicLocationLongitude"	"GeographicLocationAltitude"	"GeographicLocationCountry"
"Biogemma Gaillac 2012"	"Gai12"	"Gaillac"	"2012/05/14"	"2012/10/27"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Cecile Richard and Marie Bouteillee, Biogemma"	"alpha lattice"	"43.9"	"1.89"	49	"FR"
"Biogemma Gaillac 2013"	"Gai13"	"Gaillac"	"2013/05/13"	"2013/10/25"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Cecile Richard and Marie Bouteillee, Biogemma"	"alpha lattice"	"43.9"	"1.89"	49	"FR"
"Biogemma Graneros 2013"	"Gra13"	"Graneros"	"2013/11/13"	"2014/04/03"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Jeremy Lopez, Biogemma"	"alpha lattice"	"-34.06"	"-70.73"	841	"CL"
"Biogemma Nerac 2011"	"Ner11"	"Nerac"	"2011/05/13"	"2011/10/08"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Cecile Richard and Marie Bouteillee, Biogemma. ErrorMessage: advanced condition failed"	"alpha lattice"	"44.17035"	"0.30732"	40	"FR"
"Biogemma Nerac 2012"	"Ner12"	"Nerac"	"2012/05/27"	"2012/10/10"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Cecile Richard and Marie Bouteillee, Biogemma. ErrorMessage: advanced condition failed"	"alpha lattice"	"44.17035"	"0.30732"	40	"FR"
"Biogemma Nerac 2013"	"Ner13"	"Nerac"	"2013/05/15"	"2013/10/11"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Cecile Richard and Marie Bouteillee, Biogemma. ErrorMessage: advanced condition failed"	"alpha lattice"	"44.17035"	"0.30732"	40	"FR"
"KWS Caracal 2012"	"Cra12"	"Craiova"	"2012/05/21"	"2012/09/18"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Therese Welz , KWS. ErrorMessage: advanced condition failed"	"alpha lattice"	"44.115568"	"24.347763"	101	"RO"
"KWS Karlsruhe 2011"	"Kar11"	"Karlsruhe"	"2011/05/04"	"2011/10/18"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Therese Welz , KWS"	"alpha lattice"	"49.1"	"8.32"	100	"DE"
"KWS Karlsruhe 2012"	"Kar12"	"Karlsruhe"	"2012/05/10"	"2012/10/18"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Therese Welz , KWS"	"alpha lattice"	"49.1"	"8.32"	100	"DE"
"KWS Karlsruhe 2013"	"Kar13"	"Karlsruhe"	"2013/04/17"	"2013/10/20"	"Maize European phenotyping network (DROPS project) with targeted irrigation along the cycle (watered) and targeted drought around flowering time (rainfed). Data gathered by Therese Welz , KWS"	"alpha lattice"	"49.1"	"8.32"	100	"DE"
