"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref"
;"MIPO:0000001";"ASI_GDD8";"Anthesis to silking interval GDD base 8, ASI";;"Flowering";;"CO_322:0000800";;;;"EN";"Maize";"CO_322:0000001";"Anthesis silking interval";"Phenological ";"Anthesis silking interval";;"ASI";;"Flower";"Anthesis silking interval";;;"MIPO:2000001";"Anthesis silking interval - Computation";"Computation";"Calculated as growing-degree units or growing degree days between sowing and 50% anthesis.";"parameter values (Tb = 8°C and To = 30°C)
that maximized correlations between sites";"Ritchie J, NeSmith D (1991) Temperature and crop development. Modeling plant and soil systems American Society of Agronomy Madison Wisconsin USA. doi:10.2134/agronmonogr31.c4 ";"MIPO:3000001";"GDD: growing degree-days";"Numerical";;;;
;"MIPO:0000002";"FFLW_GDD8";"Female flowering days to silking GDD base 8, FFLW";;"Flowering";;;;;;"EN";"Maize";"CO_322:0000031";"Silking time";"Phenological ";"Silking time";"Female flowering time";"Silk";"S, FFlw";"Flower";"Silking time";;"PO:0025599, http://browser.planteome.org/amigo/term/PO:0025599";;;;;;;"MIPO:3000001";"GDD: growing degree-days";"Numerical";;;;
;"MIPO:0000003";"MFLW8";"Male flowering days to anthesis GDD base 8, MFLW";;"Flowering";;;;;;"EN";"Maize";"CO_322:0000030";"Anthesis time";"Phenological ";"Anthesis time";"Male flowering time";"Ant";"MFlw";"Flower";"Anthesis time";;"PO:0025600, http://browser.planteome.org/amigo/term/PO:0025600";"MIPO:2000002";"Growing degree days to anthesis - Computation";"Computation";"Calculated as growing-degree units or growing degree days between sowing and 50% anthesis.";"parameter values (Tb = 8°C and To = 32°C)
that maximized correlations between sites";"Ritchie J, NeSmith D (1991) Temperature and crop development. Modeling plant and soil systems American Society of Agronomy Madison Wisconsin USA. doi:10.2134/agronmonogr31.c4 ";"MIPO:3000001";"GDD: growing degree-days";"Numerical";;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"MIPO:0000004";"EmVIG";"Emergence vigor (qualitative)";;"Germination";;"CO_322:0001017";;;;"EN";"Maize";"CO_324:0000190";"Seedling Vigor";"Agronomical";"Seedling vigor.";"Early vigor";"SdIngVig";;"Seedling";"Vigor";;;"CO_324:0000191";"Seedling vigor - Estimation";"Estimation";"Comparative visual observation of plant biomass (length, width, number of leaves) 15 days after sowing.  ";;"House, L.R. 1987. Manual for the selection of sorghum. Second edition. Patancheru, AP 502 324, India: International Crops Research Institute for the Semi-Arid Tropics.";"CO_324:0000192";"Vigor Score (1-5)";"Ordinal";;1;5;
;"MIPO:0000005";"Em8";"Emergence (GDD f )";;"Germination";;"CO_322:0000540";;;;"EN";"Maize";"CO_322:0000540";"Standard germination";"Agronomical";"Standard germination";"emergence";"StdGerm";"StandGerm";"Grain";"Standard Germination";;;"CO_322:0000633";"StdGerm - Estimation";"Estimation";"The plant germination dynamics were measured by counting the number of
visible plants after seeding every 2 days until 50% of plants were visible (days to
emergence: Em) ";;"IMIS (International Maize Information System; http://imis.cimmyt.org/) Database, CIMMYT.";;;;;;;
;"MIPO:0000006";"PTHT";"Plant height (cm)";;;;"CO_322:0000994";" ";;;"EN";"Maize";"CO_322:0000994";"Plant height";"Agronomical";"Plant height from the base to the top part (in reproductive stages to the top of the tassel).";;"PH";;"Plant";"height";;;"CO_322:0000995";"PH - Measurement";"Measurement";"Recommended to take multiple plants and measure the height from the base of a plant to the top of the tassel, enter the data individually in the FieldBook and calculate the average.";;"DTMA drought phenotyping protocol. 2009. CIMMYT. Magorokosho et al. 2010. Characterization of maize germplasm grown in eastern and southern Africa: Results of the 2009 regional trials coordinated by CIMMYT. Zimbabwe";"CO_322:0000348";"cm";"Numerical";;0;30;
;"MIPO:0000007";"EARHT";"Ear insertion height (cm)";;;;"CO_322:0000017";;;;"EN";"Maize";"CO_322:0000017";"Ear height";"Agronomical";"Plant height from base to the insertion of the top (uppermost) ear.";;"EH";;"Plant/ear";"height to insertion of uppermost ear";;;"CO_322:0000179";"EH - Measurement";"Measurement";"Recommended to take 6 alternating plants per plot and measure the height between the base of a plant to the insertion of the top (uppermost) ear of the same plant, enter the data individually in the FieldBook and calculate the average.";;"IMIS (International Maize Information System; http://imis.cimmyt.org/) Database, CIMMYT.";"CO_322:0000348";"cm";"Numerical";;;;
;"MIPO:0000008";"TINB";"Tiller number per plant / Tillering";;;;"CO_322:0000059";;;;"EN";"Maize";"CO_322:0000059";"Tiller number per plant / Tillering";"Agronomical";"Number of tillers per plant.";"Tiller number per plant / Tillering";"TINB";;"Tiller";"Number";;;"CO_322:0000306";"Tillering - Counting";"Counting";"Count the number of tillers per plant (average of more than 20 representative) plants.";;;"CO_322:0000514";"tiller/plant";"Numerical";;;;
