"Experiment","parent1","Code_ID","Variety_ID","Accession_ID","Tnight.Early","Tnight.Flo","Tnight.Fill","Ri.Early","Ri.Flo","Ri.Fill","Psi.Flo","Psi.Fill","Tmax.Early","Tmax.Flo","Tmax.Fill","type"
"Gai12W","B73_inra",3001,"B73","B73_H",18.472430303,18.1438998682,17.0028854165,280.475,241.887,963.435,-20.2554347826,-9.9206989247,27.1868526225,27.2798120066,25.3819659186,"CrossValidation"
"Gai12W","PH207_usda",3002,"PH207","PH207_H",18.2112352694,17.9134650856,17.1364637387,238.884,255.262,1015.171,-22.4836956522,-9.5997474747,26.9159674457,27.1264248515,25.5538073905,"CrossValidation"
"Gai12W","Oh43_inra",3003,"Oh43","Oh43_H",17.8436906098,18.1387878788,16.9818724562,266.106,264.091,941.231,-20.6216666667,-9.6847222222,26.605628079,27.2907028414,25.3381821444,"CrossValidation"
"Gai12W","W64A_inra",3004,"W64A","W64A_H",18.0620686027,18.2560606061,16.9617715358,221.343,312.767,917.38,-21.0104166667,-9.2629310345,26.7233013355,27.325975712,25.3779956625,"CrossValidation"
"Gai12W","Oh33_inra",3005,"Oh33","Oh33_H",18.0388325563,17.8377134986,17.1584154292,264.524,232.603,1015.171,-22.240530303,-9.5997474747,26.7374728205,27.014947452,25.5973498716,"CrossValidation"
"Gai12W","EZ47_csic",3006,"EZ47","EZ47_H",18.0620686027,17.8312373737,17.1364637387,221.343,255.262,1015.171,-22.5052083333,-9.5997474747,26.7233013355,27.0059960511,25.5538073905,"CrossValidation"
"Gai12W","MS153_inra",3007,"MS153","MS153_H",18.2659858586,18.1108207071,17.0028854165,263.182,284.339,963.435,-20.7725694444,-9.9206989247,27.0224858534,27.2133416888,25.3819659186,"CrossValidation"
"Gai12W","A310_inra",3008,"A310","A310_H",18.367671156,17.9868518519,17.1184920576,358.108,258.65,989.124,-20.6180555556,-9.8841145833,26.8655532639,27.5100850705,25.5157446615,"CrossValidation"
"Gai12W","B84_inra",3009,"B84","B84_H",18.4739180264,18.3478129117,16.9207180145,319.22,287.942,917.38,-19.2735507246,-9.2629310345,27.1150701404,27.4683693878,25.2945761976,"CrossValidation"
"Gai12W","F894_inra",3010,"F894","F894_H",18.367671156,18.4860606061,16.902988467,358.108,257.568,895.194,-20.2556818182,-8.6354166667,26.8655532639,27.7914171704,25.2610414311,"CrossValidation"
"Gai12W","F912_inra",3011,"F912","F912_H",17.7649864025,17.8312373737,17.1364637387,223.625,255.262,1015.171,-22.5052083333,-9.5997474747,26.314856961,27.0059960511,25.5538073905,"CrossValidation"
"Gai12W","B105_inra",3012,"B105","B105_H",18.0620686027,18.0838344988,17.0028854165,221.343,306.998,963.435,-21.1298076923,-9.9206989247,26.7233013355,27.189817762,25.3819659186,"CrossValidation"
"Gai12W","A347_inra",3013,"A347","A347_H",17.9771858586,18.1942191142,17.0231624589,240.226,239.031,941.231,-20.8990384615,-9.6847222222,26.6238146278,27.3787114874,25.421133215,"CrossValidation"
"Gai12W","EP52_csic",3014,"EP52","EP52_H",18.1796223101,17.9828900112,17.0439396396,214.519,284.339,963.435,-21.087962963,-9.9206989247,26.8750869403,27.0432405274,25.4644615555,"CrossValidation"
"Gai12W","F7028_inra",3015,"F7028","F7028_H",18.0133202394,17.899077135,17.0770571731,284.523,281.309,989.124,-20.7784090909,-9.8841145833,26.6984747302,27.1595265626,25.4336037124,"CrossValidation"
"Gai12W","FC1890_inra",3016,"F1890","F1890_H",17.9771858586,17.9462373737,17.1184920576,240.226,281.309,989.124,-21.5677083333,-9.8841145833,26.6238146278,27.1988765166,25.5157446615,"CrossValidation"
"Gai12W","A374_inra",3017,"A374","A374_H",18.4739180264,18.1736225895,17.0231624589,319.22,264.091,941.231,-19.1534090909,-9.6847222222,27.1150701404,27.396718559,25.421133215,"CrossValidation"
"Gai12W","FR19_usda",3018,"FR19","FR19_H",18.2659858586,18.2942191142,16.9617715358,263.182,312.767,917.38,-20.671474359,-9.2629310345,27.0224858534,27.3581637945,25.3779956625,"CrossValidation"
"Gai12W","B100_uh",3019,"B100","B100_H",18.472430303,18.1438998682,17.0028854165,280.475,284.339,963.435,-20.2554347826,-9.9206989247,27.1868526225,27.2798120066,25.3819659186,"CrossValidation"
"Gai12W","EZ11A_csic",3020,"EZ11A","EZ11A_H",18.4428974935,17.8864912281,17.0770571731,338.102,241.023,989.124,-20.2697368421,-9.8841145833,27.0059872289,27.3412902365,25.4336037124,"CrossValidation"
"Gai12W","EZ37_csic",3021,"EZ37","EZ37_H",18.4556585082,17.8864912281,17.1184920576,334.597,258.65,989.124,-20.2697368421,-9.8841145833,26.96411365,27.3412902365,25.5157446615,"CrossValidation"
"Gai12W","F1808_inra",3022,"F1808","F1808_H",18.2307556333,17.8609379509,17.1364637387,283.181,190.151,1015.171,-21.744047619,-9.5997474747,26.9710257968,27.0783009316,25.5538073905,"CrossValidation"
"Gai12W","Pa405_uh",3023,"Pa405","Pa405_H",18.4756747475,18.1563498623,17.0653193217,301.774,306.998,963.435,-19.4715909091,-9.9206989247,27.1407436626,27.2751668129,25.5079774381,"CrossValidation"
"Gai12W","LH38_usda",3024,"LH38","LH38_H",18.0388325563,17.8752042161,17.1184920576,264.524,281.309,989.124,-21.2952898551,-9.8841145833,26.7374728205,27.095396033,25.5157446615,"CrossValidation"
"Gai12W","Oh02_inra",3025,"Oh02","Oh02_H",18.472430303,18.3500505051,16.9224041749,280.475,252.495,873.628,-20.3770576132,-8.2680041152,27.1868526225,27.5102884736,25.3000192822,"CrossValidation"
"Gai12W","UH250_uh",3026,"UH250","UH250_H",18.2112352694,17.9772589532,17.1294248203,238.884,257.34,1041.109,-23.1685606061,-9.5355392157,26.9159674457,27.1851944551,25.5569499319,"CrossValidation"
"Gai12W","B97_usa",3027,"B97","B97_H",18.367671156,18.3051666667,17.0231624589,358.108,211.531,941.231,-19.84375,-9.6847222222,26.8655532639,27.7127496772,25.421133215,"CrossValidation"
"Gai12W","F838_inra",3028,"F838","F838_H",18.3834686147,18.2785964912,16.9818724562,383.403,239.031,941.231,-19.9671052632,-9.6847222222,26.8862582034,27.7268264197,25.3381821444,"CrossValidation"
"Gai12W","B104_inra",3029,"B104","B104_H",18.4756747475,18.3535878788,16.902988467,301.774,285.068,895.194,-19.765,-8.6354166667,27.1407436626,27.4542889836,25.2610414311,"CrossValidation"
"Gai12W","B89_inra",3030,"B89","B89_H",17.5992213805,17.879215368,17.1184920576,180.558,309.325,989.124,-21.0133928571,-9.8841145833,26.1577021874,26.9658195925,25.5157446615,"CrossValidation"
"Gai12W","NC290_uh",3031,"NC290","NC290_H",18.3034324729,18.4736666667,16.9207180145,378.231,330.394,917.38,-20.0645833333,-9.2629310345,26.7875486707,27.7927194798,25.2945761976,"CrossValidation"
"Gai12W","UH_P089_uh",3032,"UH_P089","UH_P089_H",18.4739180264,18.1433189033,17.0028854165,319.22,284.339,963.435,-19.255952381,-9.9206989247,27.1150701404,27.3133541808,25.3819659186,"CrossValidation"
