Site,year,Experiment,treatment,Rep,Date,NbL,NbV
Campagnola,2012,Cam12R,rainfed,1,2012-06-19,6,9.2
Campagnola,2012,Cam12R,rainfed,1,2012-06-28,8.2,10.4
Campagnola,2012,Cam12R,rainfed,1,2012-07-06,15.2,16.5
Campagnola,2012,Cam12R,rainfed,2,2012-06-19,6.3,9.3
Campagnola,2012,Cam12R,rainfed,2,2012-06-28,7.8,10.4
Campagnola,2012,Cam12R,rainfed,2,2012-07-06,14.8,16.3
Campagnola,2012,Cam12R,rainfed,3,2012-06-19,6.2,9.4
Campagnola,2012,Cam12R,rainfed,3,2012-06-28,8.7,10.6
Campagnola,2012,Cam12R,rainfed,3,2012-07-06,16,17.5
Campagnola,2012,Cam12W,watered,1,2012-06-19,6.4,9.5
Campagnola,2012,Cam12W,watered,1,2012-06-28,10.1,11.7
Campagnola,2012,Cam12W,watered,1,2012-07-06,17.7,17.9
Campagnola,2012,Cam12W,watered,2,2012-06-19,6.3,9.3
Campagnola,2012,Cam12W,watered,2,2012-06-28,9.4,11.2
Campagnola,2012,Cam12W,watered,2,2012-07-06,15.5,16.5
Campagnola,2013,Cam13R,rainfed,1,2013-07-09,5.7272727273,7.2727272727
Campagnola,2013,Cam13R,rainfed,1,2013-07-22,10.1818181818,12.2727272727
Campagnola,2013,Cam13R,rainfed,1,2013-08-02,16.0909090909,16.1818181818
Campagnola,2013,Cam13R,rainfed,2,2013-07-09,6.6363636364,9.1818181818
Campagnola,2013,Cam13R,rainfed,2,2013-07-22,10.2727272727,12.1818181818
Campagnola,2013,Cam13R,rainfed,2,2013-08-02,15.6363636364,15.6363636364
Campagnola,2013,Cam13R,rainfed,3,2013-07-09,6.3636363636,8.5454545455
Campagnola,2013,Cam13R,rainfed,3,2013-07-22,10.5454545455,12.1818181818
Campagnola,2013,Cam13R,rainfed,3,2013-08-02,15.7272727273,15.7272727273
Campagnola,2013,Cam13W,watered,1,2013-07-09,6.5454545455,8.4545454545
Campagnola,2013,Cam13W,watered,1,2013-07-22,10.6363636364,12.4545454545
Campagnola,2013,Cam13W,watered,1,2013-08-02,16.2727272727,16.2727272727
Campagnola,2013,Cam13W,watered,2,2013-07-09,5.9090909091,7.5454545455
Campagnola,2013,Cam13W,watered,2,2013-07-22,10.4545454545,12.4545454545
Campagnola,2013,Cam13W,watered,2,2013-08-02,15.7272727273,15.7272727273
Craiova,2012,Cra12R,rainfed,1,2012-06-18,NA,7.45
Craiova,2012,Cra12R,rainfed,1,2012-06-27,NA,11.15
Craiova,2012,Cra12R,rainfed,1,2012-07-06,NA,13.45
Craiova,2012,Cra12R,rainfed,2,2012-06-18,NA,7.4
Craiova,2012,Cra12R,rainfed,2,2012-06-27,NA,10.7
Craiova,2012,Cra12R,rainfed,2,2012-07-06,NA,13.8421052632
Craiova,2012,Cra12R,rainfed,3,2012-06-18,NA,7.45
Craiova,2012,Cra12R,rainfed,3,2012-06-27,NA,11
Craiova,2012,Cra12R,rainfed,3,2012-07-06,NA,13.45
Craiova,2012,Cra12W,watered,1,2012-06-18,NA,7.5
Craiova,2012,Cra12W,watered,1,2012-06-27,NA,10.5
Craiova,2012,Cra12W,watered,1,2012-07-06,NA,14.55
Craiova,2012,Cra12W,watered,2,2012-06-18,NA,7.4
Craiova,2012,Cra12W,watered,2,2012-06-27,NA,10.75
Craiova,2012,Cra12W,watered,2,2012-07-06,NA,13.45
Debrecen,2012,Deb12R,rainfed,1,2012-06-11,NA,5.9
Debrecen,2012,Deb12R,rainfed,1,2012-06-22,NA,10
Debrecen,2012,Deb12R,rainfed,1,2012-07-03,NA,14.6
Debrecen,2012,Deb12R,rainfed,2,2012-06-11,NA,5.5
Debrecen,2012,Deb12R,rainfed,2,2012-06-22,NA,9.6
Debrecen,2012,Deb12R,rainfed,2,2012-07-03,NA,14.7
Debrecen,2012,Deb12R,rainfed,3,2012-06-11,NA,5.8
Debrecen,2012,Deb12R,rainfed,3,2012-06-22,NA,9.8
Debrecen,2012,Deb12R,rainfed,3,2012-07-03,NA,14.9
Debrecen,2012,Deb12W,watered,1,2012-06-11,NA,6
Debrecen,2012,Deb12W,watered,1,2012-06-22,NA,10
Debrecen,2012,Deb12W,watered,1,2012-07-03,NA,14.2
Debrecen,2012,Deb12W,watered,2,2012-06-11,NA,6
Debrecen,2012,Deb12W,watered,2,2012-06-22,NA,10
Debrecen,2012,Deb12W,watered,2,2012-07-03,NA,14.7
Gaillac,2012,Gai12R,rainfed,1,2012-07-13,11,14
Gaillac,2012,Gai12R,rainfed,1,2012-07-16,13,16
Gaillac,2012,Gai12R,rainfed,1,2012-07-21,15,17
Gaillac,2012,Gai12R,rainfed,2,2012-07-13,11,14
Gaillac,2012,Gai12R,rainfed,2,2012-07-16,13,16
Gaillac,2012,Gai12R,rainfed,2,2012-07-21,14,15
Gaillac,2012,Gai12R,rainfed,3,2012-07-13,10,14
Gaillac,2012,Gai12R,rainfed,3,2012-07-16,12,15
Gaillac,2012,Gai12R,rainfed,3,2012-07-21,12,15
Gaillac,2012,Gai12W,watered,1,2012-07-13,12,15
Gaillac,2012,Gai12W,watered,1,2012-07-16,14,17
Gaillac,2012,Gai12W,watered,1,2012-07-21,16,18
Gaillac,2012,Gai12W,watered,2,2012-07-13,12,15
Gaillac,2012,Gai12W,watered,2,2012-07-16,14,17
Gaillac,2012,Gai12W,watered,2,2012-07-21,16,17
Graneros,2013,Gra13R,rainfed,3,2013-12-04,3,5.1
Graneros,2013,Gra13R,rainfed,3,2013-12-18,7,10
Graneros,2013,Gra13R,rainfed,3,2014-01-17,16.4,16.9
Graneros,2013,Gra13R,rainfed,4,2013-12-04,3,5
Graneros,2013,Gra13R,rainfed,4,2013-12-18,7,10
Graneros,2013,Gra13R,rainfed,4,2014-01-17,15.7,16.5
Graneros,2013,Gra13R,rainfed,5,2013-12-04,3,5
Graneros,2013,Gra13R,rainfed,5,2013-12-18,7,10
Graneros,2013,Gra13R,rainfed,5,2014-01-17,13.8,16.6
Graneros,2013,Gra13W,watered,1,2013-12-04,3,4.4
Graneros,2013,Gra13W,watered,1,2013-12-18,7,10
Graneros,2013,Gra13W,watered,1,2013-12-26,12,15
Graneros,2013,Gra13W,watered,1,2014-01-18,16.6,16.6
Graneros,2013,Gra13W,watered,2,2013-12-04,3,4.6
Graneros,2013,Gra13W,watered,2,2013-12-18,7,10
Graneros,2013,Gra13W,watered,2,2014-01-18,16.3,16.4
Karlsruhe,2012,Kar12R,rainfed,1,2012-06-09,NA,5.7
Karlsruhe,2012,Kar12R,rainfed,1,2012-06-19,NA,9.2
Karlsruhe,2012,Kar12R,rainfed,1,2012-06-28,6.8,10.7
Karlsruhe,2012,Kar12R,rainfed,2,2012-06-09,NA,5.85
Karlsruhe,2012,Kar12R,rainfed,2,2012-06-19,NA,9
Karlsruhe,2012,Kar12R,rainfed,2,2012-06-28,7.05,11.55
Karlsruhe,2012,Kar12R,rainfed,3,2012-06-09,NA,5.9
Karlsruhe,2012,Kar12R,rainfed,3,2012-06-19,NA,9.2
Karlsruhe,2012,Kar12R,rainfed,3,2012-06-28,7.1,11
Karlsruhe,2012,Kar12W,watered,1,2012-06-09,NA,5.5
Karlsruhe,2012,Kar12W,watered,1,2012-06-19,NA,8.55
Karlsruhe,2012,Kar12W,watered,1,2012-06-28,7.3,11.15
Karlsruhe,2012,Kar12W,watered,2,2012-06-09,NA,5.1333333333
Karlsruhe,2012,Kar12W,watered,2,2012-06-19,NA,8.15
Karlsruhe,2012,Kar12W,watered,2,2012-06-28,6.75,10.55
Karlsruhe,2013,Kar13R,rainfed,1,2013-06-20,3.6,5.7
Karlsruhe,2013,Kar13R,rainfed,1,2013-06-30,5.7,7.75
Karlsruhe,2013,Kar13R,rainfed,1,2013-07-10,9.2,12
Karlsruhe,2013,Kar13R,rainfed,1,2013-07-20,11.75,13.95
Karlsruhe,2013,Kar13R,rainfed,2,2013-06-20,4.8,7.05
Karlsruhe,2013,Kar13R,rainfed,2,2013-06-30,7.8,10.05
Karlsruhe,2013,Kar13R,rainfed,2,2013-07-10,10.15,13.1
Karlsruhe,2013,Kar13R,rainfed,2,2013-07-20,13.65,15.35
Karlsruhe,2013,Kar13R,rainfed,3,2013-06-20,5,7.55
Karlsruhe,2013,Kar13R,rainfed,3,2013-06-30,7.65,10.2
Karlsruhe,2013,Kar13R,rainfed,3,2013-07-10,10.2,13.15
Karlsruhe,2013,Kar13R,rainfed,3,2013-07-20,13.95,15.6
Karlsruhe,2013,Kar13W,watered,1,2013-06-20,5,7.25
Karlsruhe,2013,Kar13W,watered,1,2013-06-30,7.35,9.45
