"VarietyID"	"AccessionID"	"AccessionHolding"	"MaterialSourceDOI"	"MaterialSourceID"	"BiologicalMaterialID"	"Organism"	"Genus"	"Species"	"InfraspecificName"	"Parent1"	"Parent1Synonym"	"Parent1Holding"	"Parent2"	"Parent2Holding"	"CodeID"	"Panel246"	"GeneticGroup"	"Holding"	"HoldingName"
11430	"11430_H"	"inra"	"https://doi.org/10.15454/MDSCXQ"	"inra:11430_H"	"11430_H"	"NCBITAXON:4577 "	"Zea"	"mays"	11430	"11430_usda"	"11430_usda"	"USDA"	"UH_007"	"UH"	3101	"yes"	"Iodent"	"CIAM, Spain"	"Centro de Investigaciones Agrarias de Mabegondo"
"A3"	"A3_H"	"inra"	"https://doi.org/10.15454/GAHOFA"	"inra:A3_H"	"A3_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A3"	"A3_inra"	"A3_inra"	"INRA"	"UH_007"	"UH"	3102	"yes"	"Other"	"CIMMYT, Mexico"	"Centro International de Mejoramiento de Maiz y Trigo"
"A310"	"A310_H"	"inra"	"https://doi.org/10.15454/CNJTVT"	"inra:A310_H"	"A310_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A310"	"A310_inra"	"A310_inra"	"INRA"	"UH_007"	"UH"	3008	"yes"	"Other"	"CREA, Italy"	"Ronsiglio per la ricerca in agricoltura"
"A347"	"A347_H"	"inra"	"https://doi.org/10.15454/O8CNHP"	"inra:A347_H"	"A347_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A347"	"A347_inra"	"A347_inra"	"INRA"	"UH_007"	"UH"	3013	"yes"	"Other"	"CSIC, Spain"	"Consejo Superior de Investigaciones Científicas"
"A374"	"A374_H"	"inra"	"https://doi.org/10.15454/7OOY7F"	"inra:A374_H"	"A374_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A374"	"A374_inra"	"A374_inra"	"INRA"	"UH_007"	"UH"	3017	"yes"	"Other"	"IFSI, USA"	"Illinois Foundation Seeds, Inc."
"A375"	"A375_H"	"inra"	"https://doi.org/10.15454/IGF7DX"	"inra:A375_H"	"A375_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A375"	"A375_inra"	"A375_inra"	"INRA"	"UH_007"	"UH"	3103	"yes"	"Other"	"INRA, France"	"Institut National de la Recherche Agronomique"
"A554"	"A554_H"	"inra"	"https://doi.org/10.15454/9E4IDY"	"inra:A554_H"	"A554_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"A554"	"A554_inra"	"A554_inra"	"INRA"	"UH_007"	"UH"	3221	"yes"	"Other"	"MTA ATK, Hungary"	"Magyar Tudományos Akadémia MTA Agrártudományi Kutatóközpont"
"AS5707"	"AS5707_H"	"inra"	"https://doi.org/10.15454/U4PWL3"	"inra:AS5707_H"	"AS5707_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"AS5707"	"AS5707_usda"	"AS5707_usda"	"USDA"	"UH_007"	"UH"	3067	"yes"	"Lancaster"	"UH, Germany"	"University of Hohenheim"
"B100"	"B100_H"	"inra"	"https://doi.org/10.15454/PJSPJG"	"inra:B100_H"	"B100_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B100"	"B100_uh"	"B100_uh"	"UH"	"UH_007"	"UH"	3019	"yes"	"Lancaster"	"USDA, USA"	"United States Department of Agriculture"
"B104"	"B104_H"	"inra"	"https://doi.org/10.15454/4W8MAU"	"inra:B104_H"	"B104_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B104"	"B104_inra"	"B104_inra"	"INRA"	"UH_007"	"UH"	3029	"yes"	"Stiff_Stalk"		
"B105"	"B105_H"	"inra"	"https://doi.org/10.15454/KIHXDG"	"inra:B105_H"	"B105_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B105"	"B105_inra"	"B105_inra"	"INRA"	"UH_007"	"UH"	3012	"yes"	"Other"		
"B106"	"B106_H"	"inra"	"https://doi.org/10.15454/U7YFIU"	"inra:B106_H"	"B106_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B106"	"B106_inra"	"B106_inra"	"INRA"	"UH_007"	"UH"	3066	"yes"	"Other"		
"B107"	"B107_H"	"inra"	"https://doi.org/10.15454/XH5MEH"	"inra:B107_H"	"B107_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B107"	"B107_inra"	"B107_inra"	"INRA"	"UH_007"	"UH"	3053	"yes"	"Iodent"		
"B108"	"B108_H"	"inra"	"https://doi.org/10.15454/21XOCO"	"inra:B108_H"	"B108_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B108"	"B108_uh"	"B108_uh"	"UH"	"UH_007"	"UH"	3074	"yes"	"Other"		
"B109"	"B109_H"	"inra"	"https://doi.org/10.15454/X4VLZJ"	"inra:B109_H"	"B109_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B109"	"B109_uh"	"B109_uh"	"UH"	"UH_007"	"UH"	3104	"yes"	"Stiff_Stalk"		
"B110"	"B110_H"	"inra"	"https://doi.org/10.15454/3XPQEN"	"inra:B110_H"	"B110_H"	"NCBITAXON:4577 "	"Zea"	"mays"	"B110"	"B110_uh"	"B110_uh"	"UH"	"UH_007"	"UH"	3105	"yes"	"Stiff_Stalk"		
