Genotype,anthesis.silking.interval,anthesis,ear.height,grain.number,grain.weight,grain.yield,plant.height,silking,tassel.height
11430,-4.20154344046818,69.6785613441895,101.329802877905,2118.50918409724,273.119536851851,5.84863795959473,199.675293125622,74.155522522127,240.748503190269
A3,-5.58292493699835,70.2583259659192,101.880473845607,2116.20491681947,261.29834127279,5.49842746133131,196.45496858798,76.1245028946232,237.684110714163
A310,-3.7257347762457,69.7986937943225,109.977088749769,2015.54818750707,279.849174356445,5.54389432714077,198.501806711642,73.3822075249024,237.636860722897
A347,-3.43148925997678,71.3877375918636,107.811174715902,1974.30472888771,269.688638616864,5.27599809359174,197.433650544266,74.97167950725,237.877053403049
A374,-4.04329768274517,70.4469603299195,106.910274608013,2370.1895554994,251.480973393818,5.83575058611888,197.207589863649,74.5401303066975,233.942707399164
A375,-3.59730319906309,70.6070506784111,105.677185434452,2220.51614968658,261.970751561145,5.82248168208475,199.28634655352,74.1589540319538,237.03897372537
A554,-3.87522382287039,68.1773598079526,104.681189577822,1993.65261234774,263.994387370407,5.38468932810168,195.711749641882,72.0195114006508,238.962250149499
AS5707,-3.92897724482654,72.6592979575569,112.428799061474,2406.87768706209,269.157960022834,6.43608692613592,208.081508685891,76.6128827710468,252.277702601701
B100,-4.46224176779221,70.6056527905879,102.79189280503,2125.57233209919,269.919532297527,5.73244464747327,193.514450935396,75.1284260165218,233.962330612281
B104,-5.11444575607251,72.1795493728192,103.570950918284,2127.1751327,280.602242893616,5.87623941080051,195.342692808378,77.6159298784498,236.706060073704
B105,-5.27276953738251,70.2696898215773,101.290976779043,2138.91171970094,275.76641127051,5.80798520648437,197.385783414457,75.7841569206835,239.091849593996
B106,-4.76940100313893,71.9725938877715,105.84980220164,2089.73176603444,261.563751419242,5.45314748105558,201.963050225973,76.9003042351625,243.760523949096
B107,-3.55866280216937,71.5046388833555,111.446444071894,2309.55934082298,286.35793888104,6.69320858963384,201.917555490895,75.3351297454817,245.523869015863
B108,-4.22627833546552,71.8348879991274,106.961814741039,2095.991804728,262.434600819606,5.68518523356978,198.307061131063,75.8556502018967,238.6101820837
B109,-4.6883748928615,70.5160949327166,107.160493973495,2128.77314930607,269.150776801512,5.84557203257276,201.005238834692,75.5142471253401,243.162373270281
B110,-4.87776762221592,71.2751092787607,108.227447831575,2233.18434440363,265.488304129374,5.9908003695767,198.242627372593,76.1920687375939,237.157661891232
B113,-5.17558645309678,71.876797014522,102.803164570216,2321.70740553927,250.199821481102,5.91887382591174,196.510043194384,77.4950662979866,237.4674954115
B37,-5.00631165828133,72.5443920567415,106.432163687248,2129.96951702185,267.468086085365,5.84644060109109,200.732287106792,77.6825449164874,242.964967248496
B73,-4.04040559333791,71.1911221416594,107.31401362552,2332.03278776894,259.775631005255,6.11948991563962,200.06598871716,75.1961652210917,240.6991320355
B84,-3.81792316865644,72.2158248312041,105.759084690955,2213.85768111777,281.821259679534,6.22885702737174,202.833688288522,76.1778463555937,243.013183943094
B89,-5.01114699325102,69.333834300349,101.192661187609,2025.49744382401,273.278236657984,5.43128596504978,193.803846007022,74.8751047514949,235.671088654878
B97,-4.17829109310044,71.4932857651615,106.110563998961,2341.27174463802,281.537542504218,6.52328703195011,199.247049697077,75.6120065882843,236.564577344129
B98,-5.99469367071035,72.3761919909991,108.281149456681,2349.2910138217,253.809166162635,5.99076483092794,208.466715081344,78.724906605382,250.586703208538
C103,-6.19016653454716,73.2221813580137,106.071144370569,2012.73074104163,275.48941451065,5.69144506818096,200.912616914705,79.3220377692443,244.183277342679
CO109,-4.95453112886625,69.0465466840268,104.357702912231,1954.43177440909,252.792759757168,4.97641520008196,195.465441378025,74.0899897849907,230.864485829989
CR1Ht,-3.79323663673393,68.6353189363218,102.661488588451,1956.03105668197,289.126173129688,5.63057778765512,196.826905570236,72.2900036544788,235.686938347558
D09,-4.59512179244815,68.1673908135231,103.002806497975,2059.91422543269,250.642173653872,5.36725273042164,192.536283820999,72.3466333956647,233.394281228912
DE811,-4.88701240249958,72.4036189791494,106.886275315355,2308.0029754593,261.791523635867,6.14580861235875,201.697027121886,77.4947962290519,243.87202454211
DK4676A,-3.69742682742158,69.4827436484269,104.085528420574,1900.36549346249,284.443199916615,5.37220806069086,199.233397801208,73.6692788509107,237.070166225888
DK78010,-3.07766325951848,70.5278699277361,103.058008154572,2155.72843432745,280.506902765588,6.01747634025623,193.310366583798,73.7942515934144,232.383712979074
DK78371A,-4.5937229707019,72.4069602668368,103.928342000332,2141.67316462413,276.682977861571,5.93035563720911,204.658814567731,77.0796821346562,245.696164360579
DKFAPW,-5.16307881872668,69.4272385811521,106.49680058185,2207.73938231841,262.470370618475,5.74463834112267,196.190012241003,74.5248127772622,236.606190726924
DKFBHJ,-3.81002205435709,70.0611607996272,101.2062767778,1965.55680441007,268.124404100287,5.34809470789252,199.11551007844,73.6766677941701,237.974239065737
DKIBO2,-3.50035237277803,68.138563419457,104.242236348899,1972.28142787093,280.413128961876,5.37407345723616,201.641834690019,71.3390534364786,243.212617453499
DKMBST,-4.9295737831975,72.4824684215481,102.621235454053,2219.83949752149,275.855925748456,6.01196498478844,197.491190589782,76.9097898594594,238.835198814133
EA1027,-4.71056900872428,71.5729452412054,108.205761426611,1924.52214924811,282.557034908144,5.32416977402115,196.017207547188,76.2090464819977,238.722268831696
EA1163,-4.62178832008539,69.2729786525784,103.500571617778,1879.35902416294,264.284228236522,5.06578671959874,201.709145046452,74.5010659619311,241.957576984952
EA3076,-5.75153815084835,71.3100897505523,105.208050695458,1947.64112021658,270.971046446349,5.22987906145791,196.856311063815,77.1641083284639,236.027945308047
EC136,-4.65722838328162,68.7453450927818,101.987074799028,1757.72309435014,270.269575051798,4.73307685066125,200.458466591463,73.6558688299455,239.282671443402
EC140,-4.37621478023647,69.0523155840422,102.215013044308,2213.01764709399,254.24394623238,5.61046844856157,194.281558863691,74.3791292132704,237.023427217369
EC151,-4.5312067891704,71.3275585832256,107.517308528372,2259.10051864778,256.338310099177,5.85248110951916,192.877732773733,75.9077050949039,231.549475790796
EC169,-3.67918410878497,68.5738514136793,103.032110964767,2036.56152035813,262.209435000016,5.33245200784328,192.336779095369,72.1649688938213,232.643231386761
EC175,-5.93353311099497,69.2642290158722,104.397990456399,1948.16659452516,259.590171574682,5.19717275578999,201.718336842867,75.2308204021042,239.497544783646
EC232,-3.75464104709484,70.2120838410273,107.799645223638,1997.54668522003,272.749691568818,5.37581328646461,198.372940758725,73.7782478776033,235.594823054597
EC242C,-3.60098020025641,68.1224404940573,100.861077189887,2143.14845634173,278.354440107127,5.89770561149907,197.066079191156,72.065288192498,233.871855266721
EC334,-4.7639067147921,70.7797953489655,99.2919977049198,2086.80080958342,270.909596184757,5.54559836351704,189.91699043024,75.7001714528955,230.812815724095
EP10,-4.92152825725546,70.2397919712425,101.237479663121,1750.85905032162,263.953015688451,4.51505732090972,187.708007785863,75.1545514216095,224.92787193622
