Genotype,Envir,Row,Column,anthesis,R,C,anthesis_spats_residuals,anthesis_spats_geno_pred_values,anthesis_spats_adj_pheno
11430,Gai12R_block_7,2,18,64.7849117529,2,18,-0.017991603033721,68.4264088676454,68.4084172646117
B73,Gai12R_block_7,11,16,69.1907382303,11,16,0.183180433901398,68.6275809045805,68.8107613384819
C103,Gai12R_block_7,20,18,74.9190642556,20,18,2.10219273449643,70.5465932051756,72.648785939672
EZ11A,Gai12R_block_7,20,19,67.0282656168,20,19,-1.62729935182752,66.8171011188516,65.189801767024
EZ36,Gai12R_block_7,20,21,68.1234868243,20,21,-1.13612388869943,67.3082765819797,66.1721526932803
F04402,Gai12R_block_7,11,21,63.3048330487,11,21,-1.82518570454518,66.6192147661339,64.7940290615887
F04702,Gai12R_block_7,2,15,70.3468421086,2,15,1.44653746160323,69.8909379322825,71.3374753938857
HMV5347,Gai12R_block_7,11,15,63.3048330487,11,15,-2.40838047673818,66.0360199939409,63.6276395172027
LH145,Gai12R_block_7,2,19,63.3048330487,2,19,-0.679820471816029,67.7645799988631,67.0847595270471
LH38,Gai12R_block_7,2,20,63.3048330487,2,20,-1.05195158150929,67.3924488891699,66.3404973076606
LH60,Gai12R_block_7,2,17,69.1907382303,2,17,1.87932297940878,70.3237234500879,72.2030464294967
LH65,Gai12R_block_7,20,17,73.2949949091,20,17,1.14235428792384,69.5867547586029,70.7291090465268
Lo1123,Gai12R_block_7,20,16,68.1234868243,20,16,-1.52980130540765,66.9145991652715,65.3847978598639
Lo1284,Gai12R_block_7,11,19,69.1907382303,11,19,-0.067267409961886,68.3771330607173,68.3098656507554
Lo1301,Gai12R_block_7,2,21,69.1907382303,2,21,1.17937895841509,69.6237794290942,70.8031583875093
PB98TR,Gai12R_block_7,11,18,70.3468421086,11,18,0.460962468792957,68.9053629394722,69.3663254082651
PHG86,Gai12R_block_7,20,15,73.2949949091,20,15,0.820999465103583,69.2653999357827,70.0863994008863
PHK76,Gai12R_block_7,11,20,71.7553055814,11,20,1.61137436433467,70.0557748350138,71.6671491993485
PHV63,Gai12R_block_7,11,17,68.1234868243,11,17,-0.540930843708253,67.9034696269709,67.3625387832626
PHW65,Gai12R_block_7,20,20,73.2949949091,20,20,1.52080164237371,69.9652021130529,71.4860037554266
UH_P115,Gai12R_block_7,2,16,63.3048330487,2,16,-1.46235215910554,66.9820483115735,65.519696152468
11430,Gai12R_block_36,18,27,63.3048330487,18,27,-1.10287440836901,64.9119645416932,63.8090901333241
B84,Gai12R_block_36,18,26,69.1907382303,18,26,1.09487103777536,67.109709987837,68.2045810256124
DE811,Gai12R_block_36,9,27,70.3468421086,9,27,0.495478198221392,66.5103171482831,67.0057953465045
EA1163,Gai12R_block_36,18,25,62.0608834049,18,25,-0.486263206076792,65.5285757439852,65.0423125379084
EP51,Gai12R_block_36,27,25,63.3048330487,27,25,-0.308056844859898,65.7067821052021,65.3987252603422
F04701,Gai12R_block_36,27,28,67.0282656168,27,28,0.116509137302273,66.1313480873641,66.2478572246664
F7058,Gai12R_block_36,18,24,63.3048330487,18,24,-0.841619433861375,65.1732195162007,64.3316000823393
F7082,Gai12R_block_36,9,26,71.7553055814,9,26,0.139069809595995,66.1539087596578,66.2929785692538
F838,Gai12R_block_36,27,24,70.3468421086,27,24,0.527601220638289,66.5424401707,67.0700413913383
I242,Gai12R_block_36,18,23,70.3468421086,18,23,1.28085477909104,67.2956937291526,68.5765485082437
Lo1087,Gai12R_block_36,9,23,63.3048330487,9,23,-0.519091217114095,65.4957477329479,64.9766565158338
Lo1094,Gai12R_block_36,27,27,67.0282656168,27,27,0.779683905371016,66.7945228554327,67.5742067608037
Lo1223,Gai12R_block_36,27,23,73.2949949091,27,23,0.166342148661442,66.1811810987233,66.3475232473847
Lp5,Gai12R_block_36,9,22,63.3048330487,9,22,0.200356822649198,66.2151957727111,66.4155525953603
N192,Gai12R_block_36,18,28,63.3048330487,18,28,-0.448009413499157,65.5668295365628,65.1188201230637
NQ508,Gai12R_block_36,9,28,65.9788172736,9,28,0.0258006893450187,66.0406396394069,66.0664403287519
UH_P060,Gai12R_block_36,18,22,63.3048330487,18,22,-0.418014618004783,65.5968243320572,65.1788097140524
UH_P064,Gai12R_block_36,27,26,64.7849117529,27,26,-0.513197341681462,65.5016416083805,64.9884442666991
UH_P089,Gai12R_block_36,9,24,63.3048330487,9,24,0.184064095470944,66.1989030455328,66.3829671410037
W182E,Gai12R_block_36,9,25,64.7849117529,9,25,-0.0651507666956519,65.9496881833663,65.8845374166706
W602S,Gai12R_block_36,27,22,65.9788172736,27,22,-0.308354593958939,65.706484356103,65.3981297621441
11430,Gai12R_block_32,26,25,64.7849117529,26,25,-0.239914862131513,66.7108315754647,66.4709167133332
B100,Gai12R_block_32,8,28,64.7849117529,8,28,-0.701157627736848,66.2495888098595,65.5484311821226
