Genotype,Envir,Row,Column,ear.height,R,C,ear.height_spats_residuals,ear.height_spats_geno_pred_values,ear.height_spats_adj_pheno
11430,Gai12R_block_7,2,18,105,2,18,-0.24338183468717,102.207117543143,101.963735708456
B73,Gai12R_block_7,11,16,105,11,16,0.945733944688428,103.396233322519,104.341967267207
C103,Gai12R_block_7,20,18,100,20,18,1.54203019801008,103.99252957584,105.53455977385
EZ11A,Gai12R_block_7,20,19,95,20,19,-1.52139465488543,100.929104722945,99.4077100680594
EZ36,Gai12R_block_7,20,21,110,20,21,4.72836631195769,107.178865689788,111.907232001746
F04402,Gai12R_block_7,11,21,105,11,21,-0.307823006783124,102.142676371047,101.834853364264
F04702,Gai12R_block_7,2,15,105,2,15,-0.572896444588352,101.877602933242,101.304706488653
HMV5347,Gai12R_block_7,11,15,105,11,15,1.17682017890991,103.62731955674,104.80413973565
LH145,Gai12R_block_7,2,19,105,2,19,-0.0930665661897478,102.35743281164,102.264366245451
LH38,Gai12R_block_7,2,20,105,2,20,0.0819767168067216,102.532476094637,102.614452811443
LH60,Gai12R_block_7,2,17,105,2,17,-0.393847561784256,102.056651816046,101.662804254262
LH65,Gai12R_block_7,20,17,105,20,17,4.6056055623846,107.056104940215,111.661710502599
Lo1123,Gai12R_block_7,20,16,90,20,16,-2.23238429294493,100.218115084885,97.9857307919402
Lo1284,Gai12R_block_7,11,19,105,11,19,0.227943684250988,102.678443062081,102.906386746332
Lo1301,Gai12R_block_7,2,21,105,2,21,0.0856387761006658,102.536138153931,102.621776930031
PB98TR,Gai12R_block_7,11,18,105,11,18,0.434498582493191,102.884997960323,103.319496542817
PHG86,Gai12R_block_7,20,15,90,20,15,-1.64381187921225,100.806687498618,99.1628756194057
PHK76,Gai12R_block_7,11,20,105,11,20,0.0459202530029614,102.496419630833,102.542339883836
PHV63,Gai12R_block_7,11,17,105,11,17,0.641053457895339,103.091552835726,103.732606293621
PHW65,Gai12R_block_7,20,20,85,20,20,-7.06048479253975,95.3900145852903,88.3295297927505
UH_P115,Gai12R_block_7,2,16,105,2,16,-0.446496632886777,102.004002744943,101.557506112057
11430,Gai12R_block_36,18,27,80,18,27,-1.10283778863875,91.0109953920795,89.9081576034408
B84,Gai12R_block_36,18,26,95,18,26,1.78310298398119,93.8969361646997,95.6800391486809
DE811,Gai12R_block_36,9,27,105,9,27,1.32265172879634,93.4364849095149,94.7591366383112
EA1163,Gai12R_block_36,18,25,90,18,25,-0.490025480837588,91.6238076998807,91.1337822190431
