Genotype,Envir,Row,Column,silking,R,C,silking_spats_residuals,silking_spats_geno_pred_values,silking_spats_adj_pheno
11430,Gai12R_block_7,2,18,78.9055366062,2,18,1.4933261486337,79.2312398043643,80.724565952998
B73,Gai12R_block_7,11,16,78.9055366062,11,16,1.52016728378474,79.2580809395153,80.7782482233
EZ11A,Gai12R_block_7,20,19,83.19971632,20,19,1.3768953796918,79.1148090354224,80.4917044151142
EZ36,Gai12R_block_7,20,21,81.6621384111,20,21,-1.13856856837496,76.5993450873557,75.4607765189807
F04402,Gai12R_block_7,11,21,64.7849117529,11,21,-3.68311642590422,74.0547972298262,70.371680803922
F04702,Gai12R_block_7,2,15,81.6621384111,2,15,2.13424126982937,79.8721549255599,82.0063961953892
HMV5347,Gai12R_block_7,11,15,64.7849117529,11,15,-2.32490758080303,75.4130060749274,73.0880984941244
LH145,Gai12R_block_7,2,19,67.0282656168,2,19,-4.51241280373546,73.225500851995,68.7130880482595
LH38,Gai12R_block_7,2,20,83.19971632,2,20,2.58600948777767,80.3239231435083,82.909932631286
LH60,Gai12R_block_7,2,17,81.6621384111,2,17,2.84883971829817,80.5867533740288,83.435593092327
LH65,Gai12R_block_7,20,17,80.2021890789,20,17,0.355785757724874,78.0936994134555,78.4494851711803
Lo1123,Gai12R_block_7,20,16,80.2021890789,20,16,0.405758081557593,78.1436717372882,78.5494298188457
Lo1284,Gai12R_block_7,11,19,81.6621384111,11,19,0.0913971563640246,77.8293108120946,77.9207079684586
Lo1301,Gai12R_block_7,2,21,81.6621384111,2,21,0.795040654134851,78.5329543098654,79.3279949640002
PB98TR,Gai12R_block_7,11,18,81.6621384111,11,18,0.00604594600453368,77.7439596017351,77.7500055477396
PHG86,Gai12R_block_7,20,15,78.9055366062,20,15,-0.746666479719224,76.9912471760113,76.2445806962921
PHK76,Gai12R_block_7,11,20,81.6621384111,11,20,1.80845260234166,79.5463662580722,81.3548188604139
PHV63,Gai12R_block_7,11,17,78.9055366062,11,17,-0.395926334381954,77.3419873213486,76.9460609869666
PHW65,Gai12R_block_7,20,20,84.6081786292,20,20,1.23573950541702,78.9736531611474,80.2093926665645
UH_P115,Gai12R_block_7,2,16,68.1234868243,2,16,-3.85610079864155,73.8818128570888,70.0257120584473
11430,Gai12R_block_36,18,27,64.7849117529,18,27,0.511471683518863,72.6964058492455,73.2078775327644
B84,Gai12R_block_36,18,26,45.657488744,18,26,-9.43990623155494,62.7450279341721,53.3051217026172
DE811,Gai12R_block_36,9,27,84.6081786292,9,27,2.17196691410732,74.3569010798339,76.5288679939412
EA1163,Gai12R_block_36,18,25,63.3048330487,18,25,-1.21087327256443,70.9740608931623,69.7631876205979
EP51,Gai12R_block_36,27,25,73.2949949091,27,25,-0.841809403243161,71.3431247624835,70.5013153592403
F04701,Gai12R_block_36,27,28,74.9190642556,27,28,3.02559455351154,75.2105287192379,78.2361232727494
F7058,Gai12R_block_36,18,24,68.1234868243,18,24,0.575244439257332,72.7601786049839,73.3354230442413
F7082,Gai12R_block_36,9,26,78.9055366062,9,26,-0.17757808910207,72.0073560766245,71.8297779875224
F838,Gai12R_block_36,27,24,83.19971632,27,24,2.93514072546893,75.1200748911955,78.0552156166644
I242,Gai12R_block_36,18,23,84.6081786292,18,23,8.20731202432083,80.3922461900471,88.5995582143679
Lo1087,Gai12R_block_36,9,23,67.0282656168,9,23,-5.27493277144076,66.9100013942861,61.6350686228453
Lo1223,Gai12R_block_36,27,23,83.19971632,27,23,1.77255209489401,73.9574862606205,75.7300383555145
Lp5,Gai12R_block_36,9,22,83.19971632,9,22,3.13485992623285,75.3197940919592,78.4546540181921
